"NUTS level","NUTS code","Region name","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"NUTS3","UKF21","Leicester","8339","8256","8623","9189","9538","9812","9967","10163","10083","10272","10730","10622","10927","11095","11150","11628","11839","12024","12470","12750","12560"
"NUTS3","UKF22","Leicestershire CC","11130","11459","11723","12295","12677","13058","13652","14127","14548","14909","15607","15723","16060","16052","16381","16938","17225","17596","18382","18077","18380"
"NUTS3","UKF22","Rutland","11130","11459","11723","12295","12677","13058","13652","14127","14548","14909","15607","15723","16060","16052","16381","16938","17225","17596","18382","18077","18380"
"NUTS3","UKF24","West Northamptonshire","10962","11220","11515","12440","12858","12991","13364","13788","14329","14954","16027","16070","16011","15969","16958","17798","18202","18684","19716","19617","20104"
"NUTS3","UKF25","North Northamptonshire","10258","10560","10803","11480","11851","12038","12543","13008","13610","14195","15109","15387","15455","15263","15604","16329","16850","17238","18218","18010","18346"
"NUTS2","UKF3","Lincolnshire","10085","10427","10659","11138","11508","11790","12277","12701","13205","13461","14178","14516","14823","14929","15322","15858","16109","16465","16978","16853","17094"
"NUTS3","UKF30","Lincolnshire","10085","10427","10659","11138","11508","11790","12277","12701","13205","13461","14178","14516","14823","14929","15322","15858","16109","16465","16978","16853","17094"
"NUTS1","UKG","West Midlands","9840","10303","10573","11188","11610","11920","12170","12537","12747","13182","13516","13882","14207","14253","14478","14966","15381","15794","16580","16706","16885"
"NUTS2","UKG1","Herefordshire, Worcestershire and Warwickshire","11211","11821","12078","12779","13296","13725","14062","14638","15052","15718","15992","16474","16793","16724","17093","17706","18301","18838","20012","20410","20834"
"NUTS3","UKG11","Herefordshire, County of","10235","10776","10908","11553","12146","12598","13012","13682","14029","14860","15053","15645","16038","16327","16865","17288","17852","17956","18913","18875","18804"
"NUTS3","UKG12","Worcestershire","11147","11869","12053","12567","13073","13531","13750","14433","15044","15803","15889","16250","16547","16345","16659","17229","17844","18387","19433","19627","20243"
"NUTS3","UKG13","Warwickshire","11610","12127","12509","13433","13931","14317","14751","15178","15404","15918","16414","16985","17302","17250","17619","18343","18930","19607","20990","21747","22138"
"NUTS2","UKG2","Shropshire and Staffordshire","9993","10486","10755","11242","11625","11966","12344","12635","12978","13519","13964","14449","14741","14753","15001","15503","15929","16271","17152","17176","17256"
"NUTS3","UKG21","Telford and Wrekin","10080","10393","10532","10475","10407","10866","11413","11906","11838","12353","12840","13038","13385","13554","14048","14635","14881","15167","15932","16045","15937"
"NUTS3","UKG22","Shropshire CC","10765","11438","11487","11985","12226","12646","13121","13693","13953","14726","15081","15908","16331","16191","16538","16913","17248","17575","18649","18937","19133"
"NUTS3","UKG23","Stoke-on-Trent","8238","8455","8966","9387","9469","9618","9908","10190","10710","10822","11372","11542","11817","11904","12238","12680","13093","13268","13802","13933","14217"
"NUTS3","UKG24","Staffordshire CC","10255","10794","11086","11688","12295","12639","12971","13125","13522","14110","14544","15054","15291","15303","15441","15991","16488","16895","17831","17713","17729"
"NUTS2","UKG3","West Midlands","9118","9491","9765","10405","10798","11032","11163","11474","11508","11768","12063","12307","12659","12789","12940","13367","13694","14095","14657","14725","14846"
"NUTS3","UKG31","Birmingham","8785","9155","9410","10071","10447","10640","10785","11041","11038","11380","11614","11871","12134","12309","12408","12791","13038","13463","13978","13984","14128"
"NUTS3","UKG32","Solihull","12132","12651","13028","14048","15230","15714","15929","16230","16522","16755","17178","17396","17686","17679","18080","18811","19811","20387","21737","21766","21782"
"NUTS3","UKG33","Coventry","8977","9169","9473","10333","10773","11098","11098","11576","11448","11614","12217","12475","12891","13025","13173","13463","13705","13892","14202","14351","14455"
"NUTS3","UKG36","Dudley","9635","10034","10303","10840","11074","11210","11402","11843","11945","12267","12491","12651","13239","13464","13611","14238","14595","14927","15541","15609","15698"
"NUTS3","UKG37","Sandwell","8163","8495","8762","9291","9529","9722","9887","10189","10275","10454","10647","10833","11213","11340","11540","11964","12123","12589","13165","13259","13359"
"NUTS3","UKG38","Walsall","8864","9319","9528","9955","10155","10455","10544","10799","10818","10992","11245","11538","11941","11994","12191","12604","13025","13516","14017","14092","14300"
"NUTS3","UKG39","Wolverhampton","8917","9331","9643","10097","10412","10610","10715","10969","11037","11216","11547","11879","12227","12266","12377","12710","13004","13355","13841","14116","14231"
"NUTS1","UKH","East of England","11385","11740","12096","12910","13481","13888","14110","14495","15005","15444","16026","16581","17042","16978","17160","17922","18466","18895","19955","20013","20081"
"NUTS2","UKH1","East Anglia","10429","10751","11076","11848","12336","12707","12876","13286","13840","14185","14730","15323","15721","15789","15980","16715","17149","17561","18462","18456","18388"
"NUTS3","UKH11","Peterborough","9891","10313","10977","11704","12047","12280","12250","12323","12604","13269","13821","14004","14058","14163","14274","14828","15229","15819","16514","16669","16708"
"NUTS3","UKH12","Cambridgeshire CC","11500","12009","12568","13255","13477","14076","14074","14692","15601","16217","16710","17087","17461","17368","17440","18273","19031","19766","20688","20877","20787"
"NUTS3","UKH14","Suffolk","10205","10410","10651","11651","12247","12626","12896","13356","13810","14154","14619","15461","15975","15922","15987","16744","17145","17453","18434","18403","18353"
"NUTS3","UKH15","Norwich and East Norfolk","10023","10308","10467","11090","11653","11888","12101","12356","12715","12760","13406","14008","14395","14636","15044","15717","16012","16190","17132","16668","16632"
"NUTS3","UKH15","Norfolk","10023","10308","10467","11090","11653","11888","12101","12356","12715","12760","13406","14008","14395","14636","15044","15717","16012","16190","17132","16668","16632"
"NUTS3","UKH16","North and West Norfolk","9556","9778","10022","10677","11346","11646","11905","12179","12698","12779","13402","14102","14651","15024","15450","16142","16496","16701","17437","17312","17356"
"NUTS3","UKH17","Breckland and South Norfolk","10368","10659","10748","11428","12033","12196","12440","12783","13251","13412","14075","14648","14871","15091","15456","16152","16202","16513","17389","17629","17357"
"NUTS2","UKH2","Bedfordshire and Hertfordshire","12455","12916","13137","14173","14810","15209","15479","15826","16318","16959","17674","18109","18627","18519","18609","19476","20294","20834","22014","22087","22444"
"NUTS3","UKH21","Luton","9243","8974","9381","10015","10660","11033","11305","11525","11689","11788","12103","12307","12572","12690","12850","13339","13564","13959","14388","14965","15488"
"NUTS3","UKH23","Hertfordshire","13257","13952","14068","15291","16090","16413","16720","17083","17595","18402","19293","19718","20304","20027","20101","21123","22127","22799","24170","24123","24696"
"NUTS3","UKH24","Bedford","11394","11541","11914","12529","12617","13196","13373","13764","14379","14888","15386","15979","16498","16699","16955","17458","17850","18249","19497","19778","19827"
"NUTS3","UKH25","Central Bedfordshire","12116","12338","12776","13572","13830","14461","14612","14934","15512","15932","16340","16887","17328","17638","17677","18411","19161","19343","20306","20399","19870"
"NUTS2","UKH3","Essex","11620","11914","12443","13094","13707","14172","14431","14830","15306","15678","16180","16797","17285","17081","17341","18027","18436","18771","19923","20044","20013"
"NUTS3","UKH31","Southend-on-Sea","10656","11048","11561","12309","13066","13596","13920","13930","14213","14580","15017","15322","15867","15940","16066","16614","17155","17567","18619","18628","18518"
"NUTS3","UKH32","Thurrock","10113","10346","10512","10773","11272","11978","12403","12671","13004","13360","13898","14447","14847","14947","15015","15520","15854","16430","17128","17373","17594"
"NUTS3","UKH34","Essex Haven Gateway","10121","10439","11037","11646","12243","12748","12953","13438","13897","14231","14708","15321","15932","15710","16052","16697","17219","17418","18252","18342","18349"
"NUTS3","UKH35","West Essex","13437","13762","14262","15106","15651","16017","16231","16865","17629","18003","18560","19320","19490","19091","19496","20391","20790","21096","23154","23040","22676"
"NUTS3","UKH36","Heart of Essex","13649","13899","14533","15295","15900","16267","16510","16857","17337","17812","18337","19033","19530","19209","19442","20210","20639","21255","22505","22870","22889"
"NUTS3","UKH37","Essex Thames Gateway","11417","11687","12228","12807","13495","13945","14221","14613","15047","15394","15886","16521","17101","16911","17125","17771","17988","18134","19139","19303","19380"
"NUTS1","UKI","London","13177","13796","14465","15693","16244","16532","17111","17920","18955","19903","21197","21851","21718","21592","21497","23026","24212","25054","26757","27225","27825"
"NUTS2","UKI3","Inner London - West","20711","21962","23216","25582","25746","25522","26035","27855","30341","33211","36709","39049","38974","37211","36045","39216","43255","45315","47846","48144","49258"
"NUTS3","UKI31","Camden","18636","20694","21650","24066","24004","24045","24561","26615","29523","32397","35641","38849","38154","36140","34890","37863","41689","42121","44687","46075","46288"
"NUTS3","UKI32","Westminster","21114","22065","23828","26051","26439","26142","26628","28416","30724","33687","37496","40115","40948","39439","38599","42057","46304","48614","52143","51914","53101"
"NUTS3","UKI33","Kensington and Chelsea","27670","28241","28996","31401","31072","30558","31232","33233","35679","39206","43356","46088","45724","43815","42730","46881","52280","55615","58222","57532","60343"
"NUTS3","UKI33","Hammersmith and Fulham","27670","28241","28996","31401","31072","30558","31232","33233","35679","39206","43356","46088","45724","43815","42730","46881","52280","55615","58222","57532","60343"
"NUTS3","UKI34","Wandsworth","14022","15625","17196","19452","20076","20035","20385","21857","24231","26371","29178","30279","30437","28950","27676","29776","32486","34313","36055","37069","37129"
"NUTS2","UKI4","Inner London - East","10830","11349","12082","13180","13604","13893","14379","15150","16159","17223","18285","18632","18707","18995","19025","20209","20939","21666","23280","23774","24416"
"NUTS3","UKI41","Hackney","6446","7057","7778","8859","9470","9796","10364","11171","12310","13365","14265","14678","14866","14879","15010","15949","16895","17390","18704","19420","20002"
"NUTS3","UKI41","Newham","6446","7057","7778","8859","9470","9796","10364","11171","12310","13365","14265","14678","14866","14879","15010","15949","16895","17390","18704","19420","20002"
"NUTS3","UKI42","Tower Hamlets","13105","13601","14119","15242","15684","15770","16219","16892","17805","18758","19706","19935","20124","20092","19959","20929","21434","21686","23164","24066","24748"
"NUTS3","UKI43","Haringey","15251","15748","16713","17933","18326","18673","18968","19836","20837","22129","23481","23800","23640","23943","24036","25608","26040","26895","28473","28110","28577"
"NUTS3","UKI43","Islington","15251","15748","16713","17933","18326","18673","18968","19836","20837","22129","23481","23800","23640","23943","24036","25608","26040","26895","28473","28110","28577"
"NUTS3","UKI44","Lewisham","10055","10559","11231","12241","12625","12929","13543","14255","15202","16166","17156","17500","17625","18324","18252","19428","20211","21197","22547","23077","23737"
"NUTS3","UKI44","Southwark","10055","10559","11231","12241","12625","12929","13543","14255","15202","16166","17156","17500","17625","18324","18252","19428","20211","21197","22547","23077","23737"
"NUTS3","UKI45","Lambeth","11131","11624","12437","13609","13890","14182","14593","15304","16243","17270","18445","18850","18923","19287","19429","20688","21573","22485","25368","26381","27393"
"NUTS2","UKI5","Outer London - East and North East","11340","11731","12055","12883","13674","13980","14452","14928","15394","15782","16631","17095","17006","17079","17088","18219","18686","19153","20376","21014","21572"
"NUTS3","UKI51","Bexley","12793","13098","13451","14179","14921","15158","15571","15951","16325","16714","17538","17980","18024","18104","18052","18961","19473","19938","20948","21579","22211"
"NUTS3","UKI51","Greenwich","12793","13098","13451","14179","14921","15158","15571","15951","16325","16714","17538","17980","18024","18104","18052","18961","19473","19938","20948","21579","22211"
"NUTS3","UKI52","Barking and Dagenham","10286","10771","11063","11872","12639","12998","13540","14011","14430","14804","15666","16196","16077","16158","16242","17303","17704","17893","18868","19349","19331"
"NUTS3","UKI52","Havering","10286","10771","11063","11872","12639","12998","13540","14011","14430","14804","15666","16196","16077","16158","16242","17303","17704","17893","18868","19349","19331"
"NUTS3","UKI53","Redbridge","11094","11428","11809","12655","13525","13908","14364","14859","15386","15730","16486","16881","16703","16819","16835","18135","18647","19216","20712","21242","21926"
"NUTS3","UKI53","Waltham Forest","11094","11428","11809","12655","13525","13908","14364","14859","15386","15730","16486","16881","16703","16819","16835","18135","18647","19216","20712","21242","21926"
"NUTS3","UKI54","Enfield","10957","11441","11683","12654","13420","13622","14104","14690","15257","15733","16759","17297","17203","17179","17172","18448","18864","19539","20972","22040","23084"
"NUTS2","UKI6","Outer London - South","13000","13583","14162","15279","15799","16183","16937","17805","18583","19117","20094","20436","20110","20339","20595","21949","22687","23198","24680","25281","25749"
"NUTS3","UKI61","Bromley","13902","14718","15256","16429","16982","17356","18230","19203","20015","20631","21617","21882","21567","21815","22197","23673","24308","25264","26914","27674","28338"
"NUTS3","UKI62","Croydon","10307","10755","11404","12422","13071","13526","14240","14965","15706","16224","17113","17500","17286","17426","17629","18806","19393","19654","21024","21534","22608"
"NUTS3","UKI63","Merton","14253","14794","15324","16472","16881","17224","17940","18845","19624","20118","21154","21523","21119","21413","21654","23058","23952","24374","25828","26401","26359"
"NUTS3","UKI63","Kingston upon Thames","14253","14794","15324","16472","16881","17224","17940","18845","19624","20118","21154","21523","21119","21413","21654","23058","23952","24374","25828","26401","26359"
"NUTS3","UKI63","Sutton","14253","14794","15324","16472","16881","17224","17940","18845","19624","20118","21154","21523","21119","21413","21654","23058","23952","24374","25828","26401","26359"
"NUTS2","UKI7","Outer London - West and North West","13227","13865","14445","15501","16099","16581","17265","17752","18569","19102","20065","20627","20424","20494","20618","22134","23223","24096","25981","26342","26711"
"NUTS3","UKI71","Barnet","12787","13491","14026","15304","15811","16361","17109","17696","18760","19542","20617","21240","20838","20957","21104","22813","23730","24917","27511","28157","28950"
"NUTS3","UKI72","Brent","10842","11377","12076","12959","13557","14122","14771","15270","16245","16598","17468","17998","18080","18010","18163","19650","20834","21679","23208","23393","23568"
"NUTS3","UKI73","Ealing","12908","13485","13976","14860","15487","15944","16595","17015","17664","18120","19017","19594","19533","19747","19895","21493","22754","24028","25802","26162","26705"
"NUTS3","UKI74","Harrow","11479","12196","12829","13793","14538","15070","15754","16232","16976","17354","18323","18883","18570","18750","18788","20112","21115","21567","23045","23535","23944"
"NUTS3","UKI74","Hillingdon","11479","12196","12829","13793","14538","15070","15754","16232","16976","17354","18323","18883","18570","18750","18788","20112","21115","21567","23045","23535","23944"
"NUTS3","UKI75","Hounslow","17495","18118","18635","19909","20394","20723","21391","21814","22525","23220","24218","24781","24576","24460","24645","26178","27305","28136","30267","30367","30353"
"NUTS3","UKI75","Richmond upon Thames","17495","18118","18635","19909","20394","20723","21391","21814","22525","23220","24218","24781","24576","24460","24645","26178","27305","28136","30267","30367","30353"
"NUTS1","UKJ","South East","12937","13347","13643","14561","15015","15459","15606","16125","16694","17452","18187","18597","18911","18841","19092","19936","20620","20995","22212","22289","22568"
"NUTS2","UKJ1","Berkshire, Buckinghamshire and Oxfordshire","13692","14130","14401","15456","15811","16269","16441","16956","17442","18414","19236","19665","19913","19688","19948","20820","21496","22001","23425","23576","23631"
"NUTS3","UKJ11","Berkshire","13769","14236","14444","15550","15725","16169","16423","16731","17303","18015","19152","19507","19615","19381","19741","20651","21441","21787","23012","23234","23055"
"NUTS3","UKJ12","Milton Keynes","11164","11510","11725","12434","12846","13598","13830","14514","14958","15427","16139","16592","16631","16909","16921","17435","17679","18108","19316","19695","19985"
"NUTS3","UKJ13","Buckinghamshire CC","15154","15645","16044","17107","17831","18196","18308","18995","19546","20996","21775","22332","22779","22483","22672","23452","24200","24863","26479","26808","27304"
"NUTS3","UKJ14","Oxfordshire","13278","13681","13963","15077","15372","15830","15932","16528","16877","18006","18500","18936","19308","18979","19269","20301","20945","21569","23188","23016","22939"
"NUTS2","UKJ2","Surrey, East and West Sussex","14002","14595","14905","15774","16250","16694","16831","17330","18187","19082","19785","20130","20306","20345","20601","21560","22442","22787","24108","24158","24483"
"NUTS2","UKJ2","Surrey","14002","14595","14905","15774","16250","16694","16831","17330","18187","19082","19785","20130","20306","20345","20601","21560","22442","22787","24108","24158","24483"
"NUTS3","UKJ21","Brighton and Hove","12022","12245","12615","13500","14105","14547","14719","15270","16044","16280","16775","17358","17798","17564","17741","18290","18862","19237","20387","20345","20652"
"NUTS3","UKJ22","East Sussex CC","11836","12142","12504","13252","13804","14148","14377","14664","15271","15885","16971","17473","17728","18154","18086","18708","19558","19699","20696","21069","21367"
"NUTS3","UKJ25","West Surrey","16306","17180","17627","18462","18773","19341","19364","19989","21065","22427","23087","23380","23554","23432","23795","25088","26244","26814","28459","28317","28773"
"NUTS3","UKJ26","East Surrey","15858","16806","17162","18044","18319","18940","19028","19589","20801","22249","22973","23199","23037","22936","23247","24610","25484","25898","27653","27569","27717"
